process count
152

process list
  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:12 /sbin/init maybe-ubiquity
    2 ?        S      0:00 [kthreadd]
    4 ?        I<     0:00 [kworker/0:0H]
    6 ?        I<     0:00 [mm_percpu_wq]
    7 ?        S      0:01 [ksoftirqd/0]
    8 ?        I      0:54 [rcu_sched]
    9 ?        I      0:00 [rcu_bh]
   10 ?        S      0:00 [migration/0]
   11 ?        S      0:01 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:01 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:01 [ksoftirqd/1]
   18 ?        I<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [kdevtmpfs]
   20 ?        I<     0:00 [netns]
   21 ?        S      0:00 [rcu_tasks_kthre]
   22 ?        S      0:00 [kauditd]
   24 ?        S      0:00 [khungtaskd]
   25 ?        S      0:00 [oom_reaper]
   26 ?        I<     0:00 [writeback]
   27 ?        S      0:00 [kcompactd0]
   28 ?        SN     0:00 [ksmd]
   29 ?        SN     0:02 [khugepaged]
   30 ?        I<     0:00 [crypto]
   31 ?        I<     0:00 [kintegrityd]
   32 ?        I<     0:00 [kblockd]
   33 ?        I<     0:00 [ata_sff]
   34 ?        I<     0:00 [md]
   35 ?        I<     0:00 [edac-poller]
   36 ?        I<     0:00 [devfreq_wq]
   37 ?        I<     0:00 [watchdogd]
   40 ?        S      3:32 [kswapd0]
   41 ?        I<     0:00 [kworker/u5:0]
   42 ?        S      0:00 [ecryptfs-kthrea]
   85 ?        I<     0:00 [kthrotld]
   86 ?        I<     0:00 [acpi_thermal_pm]
   87 ?        S      0:00 [scsi_eh_0]
   88 ?        I<     0:00 [scsi_tmf_0]
   89 ?        S      0:00 [scsi_eh_1]
   90 ?        I<     0:00 [scsi_tmf_1]
   96 ?        I<     0:00 [ipv6_addrconf]
  105 ?        I<     0:00 [kstrp]
  122 ?        I<     0:00 [charger_manager]
  199 ?        I<     0:00 [ttm_swap]
  274 ?        I<     0:00 [raid5wq]
  320 ?        S      0:03 [jbd2/vda2-8]
  321 ?        I<     0:00 [ext4-rsv-conver]
  371 ?        I<     0:02 [kworker/0:1H]
  379 ?        I<     0:01 [kworker/1:1H]
  392 ?        I<     0:00 [iscsi_eh]
  399 ?        S<s    0:17 /lib/systemd/systemd-journald
  406 ?        I<     0:00 [ib-comp-wq]
  407 ?        I<     0:00 [ib-comp-unb-wq]
  408 ?        I<     0:00 [ib_mcast]
  409 ?        I<     0:00 [ib_nl_sa_wq]
  415 ?        I<     0:00 [rpciod]
  416 ?        I<     0:00 [xprtiod]
  420 ?        I<     0:00 [rdma_cm]
  425 ?        Ss     0:00 /sbin/lvmetad -f
  431 ?        S<     0:00 [loop0]
  432 ?        S<     0:00 [loop1]
  437 ?        S<     0:23 [loop3]
  630 ?        I<     0:00 [xfsalloc]
  632 ?        I<     0:00 [xfs_mru_cache]
  634 ?        I<     0:00 [xfs-buf/vdc1]
  635 ?        I<     0:00 [xfs-buf/vdb1]
  640 ?        I<     0:00 [xfs-data/vdb1]
  641 ?        I<     0:00 [xfs-data/vdc1]
  642 ?        I<     0:00 [xfs-conv/vdc1]
  643 ?        I<     0:00 [xfs-cil/vdc1]
  644 ?        I<     0:00 [xfs-conv/vdb1]
  645 ?        I<     0:00 [xfs-reclaim/vdc]
  646 ?        I<     0:00 [xfs-cil/vdb1]
  647 ?        I<     0:00 [xfs-log/vdc1]
  648 ?        I<     0:00 [xfs-reclaim/vdb]
  649 ?        I<     0:00 [xfs-eofblocks/v]
  650 ?        I<     0:00 [xfs-log/vdb1]
  651 ?        I<     0:00 [xfs-eofblocks/v]
  652 ?        S      0:00 [xfsaild/vdc1]
  653 ?        S      0:05 [xfsaild/vdb1]
  841 ?        Ss     0:01 /sbin/rpcbind -f -w
  877 ?        Ssl    1:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
 1124 ?        Ss     0:00 /usr/sbin/atd -f
 1126 ?        Ssl    0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
 1136 ?        Ss     0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1203 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
 1214 ?        Ssl    0:01 /usr/bin/lxcfs /var/lib/lxcfs/
 1248 ?        Ssl    0:02 /usr/sbin/rsyslogd -n
 1268 ?        Ssl    0:23 /usr/sbin/irqbalance --foreground
 1269 ?        Ssl    0:15 /usr/lib/accountsservice/accounts-daemon
 1305 ?        Ssl    1:22 /usr/bin/containerd
 1371 ?        Ssl    0:00 /usr/lib/policykit-1/polkitd --no-debug
 1405 ?        Ss     0:00 /usr/sbin/sshd -D
